,ID,QUESTION,ANSWER,PUBLICATION DATE,ARCHIVED
,377,"As an expert, how do I sign my contract electronically?","The electronic signature replaces the traditional blue ink signature. You will receive an email notification informing you that the EU Services has sent a contract to you via the EU Funding & Tenders Portal. The email notification contains a hyperlink, which will lead you to the page where you can e-sign your Expert contract.You can find all your past, current and future contracts in the section Contract in My Expert Area.For more information, please consult the EU Funding &amp; Tenders Portal- IT How To.",28/05/2025,FALSE
,358,"After the completion of an expert profile, when can one expect to be contacted?","All applicants who complete their expert profile are included in the database, but this does not indicate that they will necessarily be contacted for an assignment.An email will be sent upon selection to take part in any particular activity. It is therefore important that the email address indicated in the expert profile is current. The selection of experts depends on the needs of the European Commission in relation to the subjects covered by proposals and projects.",28/05/2025,FALSE
,345,For which EU programmes can one be an Expert?,"For any EU programme. The European Union Institutions appoint experts for different assignments linked to different programmes. The list of programmes currently managed via the Funding & Tenders Portal can be found here.When registered as an expert in the database, by default your profile is available for all EU institutions and bodies programmes.",28/05/2025,FALSE
,11666,What are the requirements to be registered as an expert?,"1. Language skills: -Experts are expected to have language skills that allow them to read and understand proposals or project reports in the language in which they are submitted.  -A good command of English is essential, and knowledge of other European languages is welcome.2. Retirement status: Yes, it’s possible to register as an expert when retired. However, please note that working as an expert may impact social security benefits, and you are responsible for complying with your national tax and social security legislation.3. Expertise and Keywords:                                                                                                                                                   -It’s possible to enter the expertise keywords through the ""My Expert Area"" Dashboard under the Profile &gt; Expertise section.   -Type the keywords, and suggestions will appear. You can select from the list or input your own keywords.   -A maximum of 20 keywords is allowed.   -At least three areas of expertise must be chosen. – Via the CV section, you can click on the little pencil next to Area of expertise",28/05/2025,FALSE
,63778,What are FAIR principles in data management in Horizon Europe?,"FAIR principles stand for “Findability”, “Accessibility”, “Interoperability” and “Reusability” of research data or outputs. Please read more in the Horizon Europe Programme Guide (section 16 on “Open science” section in the Guide) and additionally in the JRC FAIR Data Guidelines.",22/05/2025,FALSE
,62078,What are the rights of participants from Egypt in Horizon Europe?,"Once the Association Agreement starts producing legal effects, participants established in Egypt will, in principle, enjoy equivalent conditions as applicable to entities established in EU Member States and other Associated Countries in Horizon Europe projects, subject to very limited exceptions. Consequently, Egyptian entities will be eligible for funding under the same conditions, can lead project consortia as coordinators, and will count towards the minimum number of legal entities required in collaborative actions under the Programme.",10/04/2025,FALSE
,62077,Does the transitional arrangement apply to legal entities established in Egypt?,"Yes. The transitional arrangement applies to legal entities established in Egypt in all actions under all Pillars of Horizon Europe in Work Programmes from 10 April 2025 onwards. From that date, applicants established in Egypt are treated as if Egypt was an associated country throughout the process—from admissibility and eligibility to evaluation—until the grant agreements are prepared, for all award procedures implementing budget appropriations as of 2025 and onwards. However, grant agreements with Egyptian beneficiaries on the basis of the association agreement can only be signed once the agreement starts producing legal effects (through its entry into force).",10/04/2025,FALSE
,62076,What parts of Horizon Europe will Egypt be associated to?,"Egypt is in the process of associating to all Horizon Europe parts. As such, legal entities established in Egypt will be eligible to apply for and receive funding as beneficiaries in all actions under all Pillars unless the relevant Work Programmes specify otherwise.",10/04/2025,FALSE
,62075,When will Egypt associate to Horizon Europe?,"On 10 April 2025, the Government of Egypt and the European Commission concluded negotiations for an international agreement outlining general terms for Egypt’s participation in Horizon Europe. Egypt will become an associated country to all pillars of Horizon Europe once this international agreement starts producing legal effects (through its entry into force). In the meantime, as of 10 April 2025, transitional arrangements apply to legal entities established in Egypt in calls under Horizon Europe published in Work Programmes 2025 and onwards. The Association Agreement will enter into force on the date on which the Parties have notified each other of the completion of their internal procedures but will apply with retroactive effect as of 1 January 2025.",10/04/2025,FALSE
,240,"If an organisation wants to replace the Legal Entity Appointed Representative (LEAR), how should they proceed?",They must appoint the new LEAR following the general procedure for appointing LEARs (there is no specific process for replacement). See LEAR replacement for details.,25/03/2025,FALSE
,15740,What are the rules of the JRC’s involvement in the Horizon Europe calls/topics?,"Rules for JRC involvement in Horizon Europe calls/proposals:a) Rules for JRC involvement:1. Work programme and eligibility: Applicants should review the General Annexes of the Horizon Europe Work Programme, specifically page 7, which outline the basis for JRC’s potential involvement.If a specific Horizon Europe topic mentions the JRC in its eligibility conditions and describes its potential contribution, the JRC may participate as a beneficiary requesting zero funding or as an associated partner.2. JRC not mentioned in topics: If the JRC is not mentioned in a particular topic, it can still collaborate but will not be a beneficiary or part of the grant agreement. An example of such collaboration could be serving on a project’s Scientific Advisory Board.b) Involvement in a proposal phase1. Drafting and submission:   The JRC cannot participate in drafting or submitting project proposals. It also cannot join consortia before the evaluation process is concluded.Applicants intending to involve the JRC should consider the JRC’s potential contribution as described in the topic text or seek additional information from the JRC directly if needed.                                                               2. Information provision:    The JRC will provide information to clarify its potential contribution to the consortia and ensure all applicants receive the same information.c) Involvement in post-selection:1.Negotiation:   Once a proposal is selected for funding, the JRC and the winning consortia can negotiate the specific terms of the JRC’s participation.If an agreement is reached, the JRC joins the grant agreement as a beneficiary requesting zero funding or as an associated partner. If no agreement is found, the JRC will not join, and the consortium must proceed without the JRC’s involvement.                          2. Project feasibility: Projects must be feasible even without the JRC’s contribution.d) General role of JRC:1. Contribution:  The JRC can act as an interface between research activities and regulatory aspects, support knowledge management, and ensure research results inform policy making.Its tasks may include integrating research results and data into databases and maintaining them, validating and maintaining models, providing advice and data analytics, and granting access to its research infrastructures, information systems, datasets and models. ",13/02/2025,FALSE
,11511,What are the main budgetary rules in the framework of Horizon Europe lump sum funding scheme?,"Costs actually incurred are not relevant in the framework of Lump Sum funding scheme. Instead, the grant agreement sets out a breakdown of the lump sum, per work package and per beneficiary (and affiliated entity if any). The estimated lump sum breakdown is used to determine:the share of the lump sum to which each beneficiary would be entitled for each work packagethe maximum amount for which each beneficiary is liable in case of improper implementation of a work package.Lump sum cost estimates can only include cost items that would be eligible under actual costs.",10/02/2025,FALSE
,11513,Which method is used to determine the amount of the Horizon Europe lump sum when it is fixed in the work programme by the European Commission (lump sum Type 1)?,"The fixed amount in lump sum funding scheme Type 1 is determined by the European Commission based on statistical data, similar objective means, or an expert judgement (see Art. 181 of the Financial Regulation 2018). Using one or more of these elements, a specific methodology is developed for each call for proposals that uses a Type 1 fixed lump sum, and the link to this methodology is available in the topic description on the Funding & Tenders Portal.",10/02/2025,FALSE
,11514,Which method must applicants use to determine the amount of the Horizon Europe lump sum - Type 2?,"In order to set up the budget in a Type 2 lump sum proposal, applicants need to complete the detailed budget table that is provided in the online submission tool. In this table, applicants have to provide cost estimations (approximation of the actual costs) for each cost category (personnel costs, subcontracting costs, purchase costs, other cost categories) per beneficiary and affiliated entity (if any), and per work package. The cost estimations must add up to the lump sum proposed by the applicants and must meet the usual cost eligibility criteria of Horizon Europe.",10/02/2025,FALSE
,11531,What are the rules related to the suspension of payment for Horizon Europe or Horizon 2020 lump sum grants?,"The rules on the suspension of the payment are the same for all Horizon Europe grants (except that cost eligibility is not applicable to lump sum grants, so it cannot be a reason for suspension).The granting authority may — at any moment — suspend payments, in whole or in part for one or more beneficiaries if they don't comply with the provisions of the Agreement (for details see Article 28.1 of the Lump Sum Grants Model Grant Agreement).If payments are suspended for one or more beneficiaries, the granting authority will make partial payment(s) for the part(s) not suspended. If suspension concerns the final payment, the payment (or recovery) of the remaining amount after suspension will be considered to be the payment that closes the action.",10/02/2025,FALSE
,11529,What are the rules regarding beneficiary termination in Horizon Europe or Horizon 2020 lump sum grants?,"The rules on beneficiary termination are in principle the same for actual costs and lump sum grants.The difference is that for lump sum grants, in case of beneficiary termination, no financial reports need to be provided. Any amounts for work packages not yet accepted, on which the terminated partner worked before the termination, will be paid out to the coordinator once the work package is accepted in a following reporting and payment session.The termination amendment must include an updated breakdown of the lump sum shares (but not need for revised detailed cost estimations).",10/02/2025,FALSE
,22187,What is the financial liability of beneficiaries in Horizon Europe lump sum grants?,"In all collaborative grants, the consortium is jointly responsible for the implementation of the action. If the action is not properly implemented (i.e. when it is not carried out as described in the grant agreement and in line with the obligations therein), the grant can be reduced, and the reduction can affect all beneficiaries. In lump sum grants, proper implementation requires that the activities in each work package are completed. If a work package is not completed by the end of the action duration, the lump sum share for this work package will normally be reduced in proportion to the missing work. Briefly,In case a work package is fully rejected, the beneficiaries participating in this work package are liable for up to the amount of their lump sum share in this work package.In case of partial rejection of the work package (partial payment), the liability is reduced proportionally. If it is only a specific beneficiary who did not perform its activities, only the lump sum share(s) of that beneficiary will be rejected without reducing the lump sum shares of other beneficiaries that completed their activities.The implementation of lump sum projects is judged by the same standards as all other Horizon grants, and there is no reason to expect more grant reductions in lump sum grants. Still, the consortium agreement should contain provisions to cover this possibility (e.g. internal organisation of the consortium, distribution of payments, rights and obligations, handling underperformance or lack of cooperation). For more details on how reductions are handled in lump sum grants, refer to section 5.3 ‘Payments’ of the guidance document ‘How to manage your lump sum grants’.",10/02/2025,FALSE
,21477,What is the budget flexibility in lump sum projects?,"As long as your lump sum project is implemented as described in the grant agreement, the lump sum will be paid in full and can be spent in any way you like. How it is actually spent is subject to internal agreements of the consortium, and we will only monitor that the project is executed as agreed. This is a different and more far-reaching flexibility than the budget flexibility in actual cost grants. Budget flexibility within the meaning of actual cost grants does not apply because there are no actual costs in lump sum grants. Transfers between budget categories – as in actual cost grants – do therefore not exist in lump sum projects.Lump sum shares can be transferred between beneficiaries (i.e. increasing the share of a beneficiary and decreasing the share of another) and/or between work packages (i.e. increasing the share allocated to a work package and decreasing the share of another). Such transfers need to be justified by the technical implementation of the project. If the consortium wants to reflect these changes in the grant agreement, an amendment is required which leads to an updated Annex 2. This can be useful, for example, to ensure that the financial liability follows the actual distribution of the lump sum shares among the partners.",10/02/2025,FALSE
,11526,How are periodic reports prepared for lump sum grants in Horizon Europe or Horizon 2020?,"At the end of each reporting period, you need to submit the technical and financial report in the Periodic Reporting module of the online Grant Management System. The approach is the same as for standard grants except that in lump sum grants:the coordinator must complete the ‘status of work packages’ table in the Grant Management System and mark work packages as ‘completed’ or ‘not completed’.the technical report must focus on the completion of work packages (in particular, when you declare a work package as completed, the report must explain and justify this); the ‘use of resources report’ is not applicable for lump sum grants.the financial report is much simplified and to a large extent automated (based on the declaration of completed work packages).",10/02/2025,FALSE
,21474,How are the reporting periods set for lump sum grants under Horizon Europe?,"Reporting periods are defined during grant preparation and fixed in the Grant Agreement in all Horizon Europe grants. Lump sum grants follow the same rules as all other grants in this respect. The standard reporting period in Horizon Europe is 18 months. The number of reporting periods depends on the action duration. Normally, the smallest possible number of reporting periods is used (e.g., 2 reporting periods for an action duration of 19 to 36 months, 3 reporting periods for an action duration of 37 to 54 month, etc.)",10/02/2025,FALSE
,11521,How will the pre-financing be fixed for lump sum grants in Horizon Europe?,"The pre-financing for lump sum grants is calculated in the same way as for all Horizon Europe grants. It is a percentage of the lump sum that depends on the number of reporting periods. For projects with one reporting period, the pre-financing is normally 80% of the lump sum. For projects with two or more reporting periods, the pre-financing is normally 160% of the average EU funding per reporting period (i.e. lump sum/number of periods). As in other grants, a small percentage of the lump sum is retained as contribution to the Mutual Insurance Mechanism. The pre-financing is fixed in the grant agreement. The coordinator should distribute it in accordance with the consortium agreement.",10/02/2025,FALSE
,54970,For ERC projects under Horizon Europe (HE) when are the reports due?,"For ERC projects under Horizon Europe (HE), one of the specificities of the ERC Grant Agreement is the separation of the scientific and financial reporting streams into two distinct sets of reporting requirements:Scientific progress report. The progress report covers the reporting period from month 1 to month 24. For Synergy grants there are two scientific interim reports (month 24 and month 48).Financial interim report. The interim report typically covers the reporting period from month 1 to month 30. For Synergy grants there are three interim reports (month 18, 36 and 54).The final periodic report combines the final scientific report with the final financial report (single submission), and covers the last reporting period of the project. At the end of each reporting period, the beneficiary will receive a notification via the Funding & Tenders portal to complete the periodic report.The submission of the above reports is due within 60 days from the end of the respective reporting period. ",03/02/2025,FALSE
